topic id,Connected nodes
231,[40  7 49  1 16  9 19  0 11  5 43]
233,"[   9    1   16    8   14   23    3    5   13   12   35   85    4  112
  108   53  131  158  167  130  164  184  161  197  206    0  236   43
   50  281 1558 2099    2  317 2037   67 2075  293  283 1812 2179 2220
   28  288    7 6117 7036 6321 7958]"
234,[  1   2  49  16   8  23  67  53 304 293 158]
235,[   1 9353]
236,[56  7  2  9  3 37 13]
246,[  11    7    9 3491]
237,[  49    8   68   64   16  161   17  108  152  164   37    0 2809  293]
240,"[ 14   8  35   1  49   7  13  68   0  64  17 108   9 175  37 446 861 364
 130]"
238,[ 0 49  8  2 22  3 14 35 11]
239,[ 4  9  1  7  3 56 14 13 23 49  5 64  2]
277,[68  7 11 35  3  5  9 61]
242,[35  9  7  1 12 49 67 81  5  2 23]
1979,[208]
244,[ 3 55  7 85]
384,[ 85  49  35   2   7  14   5 175  29 130 157 236  43 322]
350,[ 67  11  49   7  16   9   2  56  20  19  64  72 164 130 142 161]
1868,"[2319   35 2144 1986   16 1209  101  130  132  188 1109  255 2099  158
 2220    7  329  288]"
2046,"[  49 1986    0 2082 2306    7 1109 2889  161    1   56 1558  861  274
  131 2392 1209   67   25  805  100 3491  158]"
330,[53  7 49]
249,"[  11   56    5    2    7   40   37   16 6120  130 6122    4 7481 6260
 6168 6278 7496 7903    0 7504 9475]"
250,[  9   5   0  12  67 182 158]
253,[35  7  5  8]
251,"[   7    5   16   12   19   11   54   65  112   49  114    4  100  130
  132   23  246  255 1772 2351 1109]"
255,[62  2 65  1 11 16  4  9]
256,[16 49]
258,[11  7 19]
287,[  65   11    1   64    7   35    5 3491]
261,[64 12]
280,"[  9   5   2  16  14   0   1  56  23  65  67 130  53 164  72   4 158 261
 255  48  37]"
260,[64 61  9 14 16]
262,[63 49 14  9 16  5 13]
264,[ 9 16 14 13]
273,[   1    9   64   67    8   11   23    7 2099 1558]
1919,[ 288 1066    4  161    0]
272,[67 16  9 35]
271,[ 35 279]
297,"[  49    7    2    5   64   13   55   16   35    3   68   40   79    4
   84   85    1  104  132   53  108   91  142   23  114  158  161    0
  151  146  204 2889 2809   28 2392 3491   67 7364 9458 9334]"
285,"[  49    7  150  130   40  108  132  164  283  129  266  267  274  279
  333  161  188 2392 5305  168 6117 9475  288 6155 6247 6249   67 4873
 6168 7346 5664  505 2306 6278 6151 7719 7600 8060 7757 6144 8018 3721
 7903 8192 9112 7816 8982 9176 8260    1 6306 7543 9304 9521]"
274,[ 67  14   4  56  35   8   3   7  16  61   1   9  53  43  49 158]
275,[67 35  3]
702,"[  67  161   14    0   53  164    4    1  183  130   49   43   37    2
 7405 6155 3491  505 7346    7 6122 6359 6168]"
1887,[2075   67  288  991   85   50 2256  326  130 5805 2392 6113]
6163,[7600 9304 9905 9900 9792 9634]
6161,[9931 6249 9288 9583 6155 9876 9920 9503 2170 9144 7757 9668 9149 9634]
278,[7 1 3 9]
279,[ 0 16  1  5  9 61]
281,[19  9]
283,[ 0 16  7 35  9 62]
595,[  91   61  151  173  158  130    2   72 9475]
286,[62 16 73]
288,[23  9  2  5]
289,[72  2  9 53]
290,"[ 61  56   5   9  67  49  64  85  19 158  23 152 130  91 132  29  53  13
 146]"
291,[ 56  62   5  67  16  49   9  72  40  14  63 100 143]
308,[19  0  4 23]
545,"[   7    1   85   67   16    5    4  111   11  101   91   40    2   64
  108  129   23  132    9   72   65   54  161  130    0   13   53  261
  239 6168 2306 6247  887 7508   49  288]"
355,[  2   5   4  56  64  40   9  14  16 446  91]
298,"[  67   49   62    5   64    9   14   11   16    4   61    1   72    7
   29   53    2  164  183  274    0   91  283   37  279  130  315  320
 6151   23  322  329  161  108  805 1109 2099   25 2037  333 5265 6208
 9475 6288 6278 6317 6712 6113    3  505 7567 7405 7958]"
301,[  68   49 9353]
2151,[2392    7  805 2351 1066  287 1578  158   29   49  283    4 2220]
305,[14  5 54 49 62 16 11 35  0  4]
303,[ 5  4 16  0 11 67  2  7]
307,[19  5  4  7 49  0  2 23]
306,[  68    0 9353]
334,[81 14  7 53  9 79 67 11 49]
